2019-06-29 20:58:28,998 INFO [test_login.py(load_data:25)] - test_data=[('13012345678', '123456', '8888', '我的账户')]
2019-06-29 20:58:29,248 INFO [utils.py(get_driver:65)] - init driver...
2019-06-29 20:58:43,907 INFO [base_page.py(find_element:14)] - location=('link text', '登录')
2019-06-29 20:58:46,950 INFO [test_login.py(test_login:48)] - username=13012345678 password=123456 code=8888 expect=我的账户
2019-06-29 20:58:46,951 INFO [base_page.py(find_element:14)] - location=('id', 'username')
2019-06-29 20:58:47,078 INFO [base_page.py(find_element:14)] - location=('id', 'password')
2019-06-29 20:58:47,191 INFO [base_page.py(find_element:14)] - location=('id', 'verify_code')
2019-06-29 20:58:47,322 INFO [base_page.py(find_element:14)] - location=('name', 'sbtbutton')
2019-06-29 20:58:58,350 INFO [base_page.py(find_element:14)] - location=('id', 'q')
2019-06-29 20:58:58,467 INFO [base_page.py(find_element:14)] - location=('css selector', "[type='submit']")
2019-06-29 20:59:02,027 INFO [base_page.py(find_element:14)] - location=('xpath', "//*[@class='shop_name2']/a[contains(text(), '小米6')]")
2019-06-29 20:59:12,461 INFO [base_page.py(find_element:14)] - location=('id', 'join_cart')
2019-06-29 20:59:17,229 INFO [base_page.py(find_element:14)] - location=('css selector', 'div.conect-title>span')
2019-06-29 20:59:19,882 INFO [base_page.py(find_element:14)] - location=('id', 'hd-my-cart')
2019-06-29 20:59:23,254 INFO [base_page.py(find_element:14)] - location=('link text', '去结算')
2019-06-29 20:59:28,951 INFO [base_page.py(find_element:14)] - location=('link text', '提交订单')
2019-06-29 20:59:37,917 INFO [base_page.py(find_element:14)] - location=('link text', '我的订单')
2019-06-29 20:59:41,029 INFO [base_page.py(find_element:14)] - location=('link text', '待付款')
2019-06-29 20:59:47,553 INFO [base_page.py(find_element:14)] - location=('link text', '立即支付')
2019-06-29 20:59:50,683 INFO [base_page.py(find_element:14)] - location=('css selector', "input[value='pay_code=cod']")
2019-06-29 20:59:54,797 INFO [base_page.py(find_element:14)] - location=('link text', '确认支付方式')
